Pointages AviMéca
t	x	y
(s)	(m)	(m)
0.000	7.26E+1	-5.80E+0
0.040	7.26E+1	-5.80E+0
0.080	7.12E+1	-2.76E+0
0.120	6.96E+1	5.52E-1
0.160	6.85E+1	4.14E+0
0.200	6.74E+1	7.73E+0
0.240	6.65E+1	1.13E+1
0.280	6.57E+1	1.44E+1
0.320	6.57E+1	1.79E+1
0.360	6.57E+1	2.15E+1
0.400	6.60E+1	2.51E+1
0.440	6.65E+1	2.84E+1
0.480	6.68E+1	3.23E+1
0.520	6.74E+1	3.51E+1
0.560	6.85E+1	3.86E+1
0.600	7.01E+1	4.17E+1
0.640	7.12E+1	4.47E+1
0.680	7.29E+1	4.75E+1
0.720	7.48E+1	5.05E+1
0.760	7.70E+1	5.30E+1
0.800	7.89E+1	5.55E+1
0.840	8.12E+1	5.77E+1
0.880	8.39E+1	5.96E+1
0.920	8.64E+1	6.21E+1
0.960	8.92E+1	6.32E+1
1.000	9.22E+1	6.49E+1
1.040	9.50E+1	6.60E+1
1.080	9.80E+1	6.71E+1
1.120	1.01E+2	6.79E+1
1.160	1.04E+2	6.87E+1
1.200	1.07E+2	6.93E+1
1.240	1.10E+2	6.93E+1
1.280	1.14E+2	6.93E+1
1.320	1.17E+2	6.87E+1
1.360	1.20E+2	6.82E+1
1.400	1.23E+2	6.74E+1
1.440	1.26E+2	6.62E+1
1.480	1.29E+2	6.51E+1
1.520	1.32E+2	6.40E+1
1.560	1.35E+2	6.29E+1
1.600	1.38E+2	6.10E+1
1.640	1.40E+2	5.93E+1
1.680	1.43E+2	5.74E+1
1.720	1.45E+2	5.52E+1
1.760	1.47E+2	5.30E+1
1.800	1.50E+2	5.05E+1
1.840	1.52E+2	4.80E+1
1.880	1.54E+2	4.50E+1
1.920	1.55E+2	4.28E+1
1.960	1.57E+2	3.97E+1
2.000	1.58E+2	3.67E+1
2.040	1.59E+2	3.37E+1
2.080	1.60E+2	3.06E+1
2.120	1.61E+2	2.76E+1
2.160	1.62E+2	2.46E+1
2.200	1.62E+2	2.15E+1
2.240	1.63E+2	1.85E+1
2.280	1.63E+2	1.49E+1
2.320	1.63E+2	1.21E+1
2.360	1.62E+2	8.83E+0
2.400	1.62E+2	5.52E+0
2.440	1.61E+2	2.48E+0
2.480	1.60E+2	-2.76E-1
2.520	1.59E+2	-3.31E+0
2.560	1.58E+2	-6.35E+0
